,day,time,user,message
0,2022-03-02,01:54:32,y_exp,pagPause TeaTime  󠀀 󠀀 󠀀 󠀀 󠀀 󠀀 󠀀 󠀀
1,2022-03-02,01:54:32,allexxx1996,pagPause TeaTime
2,2022-03-02,01:54:34,sizzlaa,yyjHey yyjL
3,2022-03-02,01:54:34,sinclair_bear,soofloCoffee 󠀀
4,2022-03-02,01:54:34,rn6602,peepoPopcorn
5,2022-03-02,01:54:36,immicahyep,yyjHey yyjL yyjHey yyjL yyjHey yyjL yyjHey yyjL yyjHey yyjL yyjHey yyjL yyjHey yyjL
6,2022-03-02,01:54:36,dead_teeth,yyjHey hello
7,2022-03-02,01:54:36,sinclair_bear,yyjHey
8,2022-03-02,01:54:36,ronzert,yyjHey sup sup
9,2022-03-02,01:54:36,jondoni,yyjHey hello
10,2022-03-02,01:54:36,elegs,Hello yyjCozy
11,2022-03-02,01:54:37,arkem232,yyjHey yyjHey yyjHey
12,2022-03-02,01:54:37,marey__,yyjHey
13,2022-03-02,01:54:37,y_exp,yyjHey
14,2022-03-02,01:54:37,vincentt23,yyjHey
15,2022-03-02,01:54:37,narwhaldevil,yyjHey
16,2022-03-02,01:54:38,mimic5005,hatewatcher68 what part of sanctuary do you not understand KEKGiggle
17,2022-03-02,01:54:38,kaitypure,PogU live
18,2022-03-02,01:54:38,ironlion_308,yyjPog
19,2022-03-02,01:54:38,mr_wubwub,yo
20,2022-03-02,01:54:38,dead_teeth,yyjHey hi hi
21,2022-03-02,01:54:38,vincentt23,yyjHey 󠀀
22,2022-03-02,01:54:39,munhin00,Pog
23,2022-03-02,01:54:39,existenceofenigmas,hey 👋 goodmorning
24,2022-03-02,01:54:39,pilski6,yyjHey
25,2022-03-02,01:54:39,sinclair_bear,yyjHey  hey jimbo
26,2022-03-02,01:54:40,eonbask,yyjHey
27,2022-03-02,01:54:40,firebat1989,yyjHey
28,2022-03-02,01:54:40,iczza,yyjHey yyjHey
29,2022-03-02,01:54:40,루이스와이푸 haruiswaifu,yyjHey
30,2022-03-02,01:54:41,dcbiscuits,yyjHuh yyjHey
31,2022-03-02,01:54:41,narwhaldevil,yyjHey  󠀀
32,2022-03-02,01:54:41,griffisz,yyjHey JinJin
33,2022-03-02,01:54:41,utubesux1,hi yyjHey hi
34,2022-03-02,01:54:41,keith_2008,xqcCheer xqcCheer xqcCheer xqcCheer xqcCheer xqcCheer xqcCheer xqcCheer xqcCheer xqcCheer xqcCheer xqcCheer xqcCheer xqcCheer
35,2022-03-02,01:54:42,darkexile1,yyjHey yyjHey Sup
