jondoni,1843,YEP,152,LULW,117
skysage,1724,NODDERS,127,MmmHmm,105
zay_ih,1639,PepeLaugh,316,MmmHmm,177
vincentt23,1577,moneyhWeird,414,ratJAM,386
happyfluffyteddy,1557,Jammies,324,yyjWiggle,324
thadoril,1271,yyjL,101,catJAM,79
lightsir_,1151,MmmHmm,113,Jammies,78
darkscarlatti,1100,ratJAM,176,KEKW,70
existenceofenigmas,998,SeemsGood,160,yyjCozy,64
merbs,979,MmmHmm,91,yyjTasty,58
yvan_nix,979,YEP,91,LUL,70
bennymiaka,874,KEKW,129,YEP,88
dixgo,871,peepoShortOnAGoose,870,KEKBOOM,17
kaitypure,865,catJAM,379,Dance,378
루이스와이푸 haruiswaifu,819,catJAM,235,pepeD,224
hachiitari,766,LULW,136,OMEGALUL,89
y_exp,704,peepoPopcorn,313,Kekspin,45
michaeltth,683,Hmm,68,yyjPopcorn,45
sanmc150,675,PepeLaugh,75,KEKW,65
caliboy666,660,yyjW,37,yyjTasty,34
